DateTime,AddedIPs,RemovedIPs
1615599722,15,0
1615617726,15,0
1615639312,10,0
1615653700,0,48
1615662711,10,0
1615705908,30,0
1615740102,12,48
1615750903,15,0
1615794100,15,0
1615795906,12,0
1615839126,27,70
1615858917,6,0
1615862507,17,0
1615884170,3,0
1615912903,25,70
1615930908,15,0
1615950712,15,0
1615974108,17,0
1616017313,23,56
1616038915,10,0
1616062310,15,0
1616085718,13,56
1616105520,16,0
1616127106,8,0
1616150519,13,0
1616172107,6,50
1616215313,32,0
1616258491,9,49
1616260298,13,0
1616303508,17,0
1616305311,10,0
1616326970,15,0
1616348498,15,61
1616377317,12,0
1616393515,13,0
1616415139,16,0
1616431341,0,50
1616438535,21,0
1616460284,12,0
1616481750,11,0
1616503377,13,0
1616505299,5,0
1620061549,934,1380
1620146600,1614,980
1620155617,6,0
1620177187,7,0
1620178974,1,0
1620200542,17,0
1620222144,12,0
1620232946,0,57
1620243741,14,0
1620267136,13,0
1620310329,21,0
1620331921,23,59
1620353528,8,0
1620376913,10,0
1620398507,15,0
1620405715,0,54
1620420115,9,0
1620441725,12,0
1620443527,1,0
1620465432,26,0
1620486712,8,0
1620508340,8,57
1620510134,2,0
1620553337,25,0
1620574939,15,0
1620578539,0,119
1620598345,10,0
1620619945,16,0
1620641750,10,0
1620663210,1,0
1620665002,13,86
1620693805,7,0
1620710006,24,0
1620753205,28,58
1620796336,15,0
1620798148,5,0
1620837759,13,73
1620841359,7,0
1620888141,27,0
1620907943,14,0
1620929552,10,42
1620951162,12,0
1620996140,23,0
1621010540,0,45
1621017733,8,0
1621046525,14,0
1621062745,11,0
1621105944,23,53
1621125735,3,0
1621129337,16,0
1621150945,22,0
1621172537,9,0
1621183331,2,56
1621197734,6,0
1621217558,29,0
1621239144,22,0
1621260744,16,0
1621269739,0,71
1621284145,18,0
1621305742,14,0
1621327340,18,0
1621348946,3,0
1621361534,14,48
1621372343,13,0
1621393938,14,0
1621415550,11,0
1621417346,2,0
1621442539,5,59
1621460533,10,0
1621482147,11,0
1621483948,2,0
1621527136,24,0
1621548743,15,58
1621570336,7,0
1621572136,2,0
1621615340,22,56
1621637098,17,0
1621660332,22,0
1621701735,18,74
1621703534,9,0
1621727130,17,0
1621748538,15,0
1621770135,16,0
1621791733,11,63
1621795332,7,0
1621816935,22,0
1621836739,23,0
1621858346,20,0
1621874534,6,77
1621881755,9,0
1621903345,10,0
1621946531,23,0
1621960941,15,84
1621971739,15,0
1621991532,30,0
1622013126,12,0
1622014928,4,0
1622036532,9,0
1622047335,0,49
1622058133,11,0
1622081531,19,0
1622103139,15,0
1622133743,18,53
1622148136,8,0
1622191333,37,0
1622212926,7,0
1622220136,10,72
1622236338,20,0
1622257935,14,0
1622281341,13,0
1622302926,9,0
1622306526,0,40
1622324524,14,0
1622347929,10,0
1622369760,13,0
1622391135,20,0
1622412740,10,85
1622436138,16,0
1622457766,16,0
1622479335,14,77
1622508139,12,0
1622524336,17,0
1622565679,13,54
1622569283,22,0
1622612484,19,0
1622634091,26,0
1622655696,11,60
1622657499,4,0
1622700698,45,0
1622722296,8,0
1622738570,2,37
1622767297,23,0
1622790688,17,0
1622833906,43,66
1622855517,9,0
1622857298,6,0
1622878906,13,0
1622900499,7,0
1622922082,5,53
1622945497,10,0
1622967084,18,0
1622988686,14,0
1622997691,1,48
1623012094,8,0
1623057094,22,0
1623078697,10,0
1623084093,0,75
1623100292,18,0
1623121893,8,0
